title,soup
wit (2001),drama cancer wit (2001)
woman of the year (1942),tracy of year and woman comedy romance marriage (1942) hepburn the
oklahoma! (1955),and (1955) oklahoma! hammerstein romance western rogers musical
chaplin (1992),netflix (1992) queue drama in chaplin biopic
"miracle worker, the (1962)","miracle drama blindness deaf (1962) worker, the"
rose red (2002),king rose mystery red thriller (2002) horror stephen
babylon 5: in the beginning (1998),sci-fi 5: beginning space in adventure babylon station (1998) the
"wages of fear, the (salaire de la peur, le) (1953)","de netflix la of le) queue drama (salaire action wages adventure in thriller (1953) fear, peur, the"
pat and mike (1952),sports tracy (1952) and mike comedy romance hepburn pat
cat people (1942),people drama romance thriller (1942) horror cat sexuality
camelot (1967),(1967) arthur drama king romance camelot musical
"postman always rings twice, the (1946)","rings postman drama adultery thriller crime (1946) always film-noir twice, the"
pierrot le fou (1965),netflix pierrot queue le (1965) drama in fou crime
throne of blood (kumonosu jô) (1957),(kumonosu of blood jô) macbeth drama war action thriller (1957) throne
"11'09""01 - september 11 (2002)","11 terrorism 11'09""01 - september drama (2002)"
"parallax view, the (1974)","netflix (1974) queue parallax in thriller view, the"
another thin man (1939),nora another drama and man comedy mystery romance crime charles thin nick (1939)
"thin man goes home, the (1945)","(1945) home, nora and man goes comedy mystery crime charles thin nick the"
shadow of the thin man (1941),shadow of (1941) nora and man comedy mystery crime charles thin nick the
after the thin man (1936),nora and (1936) man comedy mystery romance crime charles after thin nick the
song of the thin man (1947),of nora song drama and man (1947) comedy mystery romance crime charles thin nick musical the
stray dog (nora inu) (1949),netflix queue dog stray drama in inu) (nora thriller film-noir (1949)
high and low (tengoku to jigoku) (1963),netflix to low (1963) queue and drama in high thriller crime (tengoku film-noir jigoku)
dark days (2000),sundance new winner train dark homeless days amtrak documentary york award independent (2000)
zelig (1983),comedy psychology zelig (1983)
shame (skammen) (1968),austere drama war (skammen) (1968) shame
infernal affairs (mou gaan dou) (2002),infernal gaan police (mou drama thriller crime dou) (2002) affairs
broadway danny rose (1984),show (1984) broadway comedy rose danny business
"weather underground, the (2002)","politics underground, weather documentary (2002) the"
"spring, summer, fall, winter... and spring (bom yeoreum gaeul gyeoul geurigo bom) (2003)","(bom gyeoul netflix fall, summer, queue and gaeul winter... geurigo drama spring, in yeoreum bom) (2003) spring"
dark water (honogurai mizu no soko kara) (2002),(honogurai mizu soko drama mystery thriller no (2002) water horror remade kara) dark
how to steal a million (1966),netflix to queue (1966) in how comedy romance crime million a steal
bad day at black rock (1955),netflix at bad queue drama (1955) day in rock thriller black western
lust for life (1956),gogh drama life van (1956) lust for
captain blood (1935),captain blood action (1935) adventure romance swashbuckler
educating rita (1983),netflix rita (1983) queue drama in educating comedy
sansho the bailiff (sanshô dayû) (1954),netflix sansho dayû) not from drama (sanshô bailiff available (1954) the
"americanization of emily, the (1964)","netflix americanization of queue drama war in emily, comedy (1964) the"
anne of the thousand days (1969),of drama anne days boleyn (1969) thousand the
hiroshima mon amour (1959),netflix (1959) queue drama war in romance amour hiroshima mon
"day of the jackal, the (1973)","assassination (1973) of day jackal, thriller crime the"
"maltese falcon, the (a.k.a. dangerous female) (1931)","heist maltese (1931) mystery (a.k.a. falcon, female) dangerous the"
safety last! (1923),clock action comedy romance (1923) safety last!
purple rain (1984),purple prince (1984) drama rain musical
college (1927),netflix queue in comedy college (1927)
make way for tomorrow (1937),heartbreaking (1937) drama make way tomorrow for
"caine mutiny, the (1954)","mutiny, military drama war caine (1954) the"
black narcissus (1947),drama black narcissus convent (1947) religion
oliver twist (1948),drama adventure oliver twist crime (1948) dickens
shrek 2 (2004),ogres 2 children animation adventure musical comedy romance (2004) shrek
saved! (2004),drama pregnancy comedy (2004) saved! religion
harry potter and the prisoner of azkaban (2004),harry potter of magic and adventure wizards (2004) prisoner imax fantasy azkaban the
"hunting of the president, the (2004)","of politics president, (2004) documentary hunting the"
napoleon dynamite (2004),dynamite napoleon school high comedy (2004)
"dresser, the (1983)","netflix (1983) queue drama in dresser, the"
hello again (1987),death hello (1987) comedy again
"divorcee, the (1930)","divorce drama romance (1930) divorcee, the"
sands of iwo jima (1949),ii world of drama war action romance iwo sands (1949) jima
johnny belinda (1948),deafness belinda drama johnny (1948)
super size me (2004),super mcdonalds size drama comedy me (2004) documentary food
"jetée, la (1962)","sci-fi la jetée, romance post-apocalyptic (1962)"
freaks (1932),circus freaks drama (1932) crime horror
dear frankie (2004),dear drama romance (2004) ireland frankie
"notebook, the (2004)","memory loss drama sad romance (2004) notebook, the"
into the woods (1991),woods netflix fairy into (1991) queue tales in adventure comedy fantasy musical the
tokyo godfathers (2003),netflix queue godfathers animation drama in adventure tokyo (2003)
our hospitality (1923),netflix queue hospitality in comedy (1923) our
fahrenheit 9/11 (2004),terrorism fahrenheit politics 9/11 (2004) documentary
spider-man 2 (2004),sci-fi 2 doc action adventure ock (2004) imax spider-man
before sunset (2004),sunset drama generation romance (2004) before x
anchorman: the legend of ron burgundy (2004),legend of comedy ferrell (2004) steve will stupid ron awesome anchorman: carell burgundy hilarious the
"maria full of grace (maria, llena eres de gracia) (2004)","full de of drugs grace llena drama eres (maria, (2004) crime gracia) maria immigrants"
"bachelor and the bobby-soxer, the (1947)","and comedy court (1947) bachelor bobby-soxer, the"
night and day (1946),drama and day musical porter cole night (1946)
"prime of miss jean brodie, the (1969)","miss oscar of brodie, jean drama actress) (best prime (1969) the"
this gun for hire (1942),gun netflix queue in thriller hire this (1942) crime film-noir for
"village, the (2004)","atmospheric shyamalan drama mystery (2004) thriller soundtrack good m. village, night the"
garden state (2004),drama garden comedy (2004) state romance psychology
"funny thing happened on the way to the forum, a (1966)","happened to rome (1966) thing comedy forum, way on funny a musical the"
danny deckchair (2003),comedy romance deckchair australia danny (2003)
"bill cosby, himself (1983)","up (1983) cosby, comedy stand documentary bill himself"
alice doesn't live here anymore (1974),netflix live (1974) queue alice drama here doesn't in romance anymore
shaun of the dead (2004),of zombies comedy (2004) dead shaun horror the
"come back, little sheba (1952)","back, little (1952) drama marriage sheba come alcoholism"
murder on the orient express (1974),oscar orient (1974) train actress) (best mystery thriller crime agatha supporting on murder christie express the
mask (1985),disability drama mask (1985)
primer (2004),time sci-fi travel drama (2004) primer
"country girl, the (1954)","girl, country oscar drama actress) (best (1954) the"
tarnation (2003),tarnation psychology documentary parenthood (2003)
being julia (2004),drama stage comedy (2004) julia being
sideways (2004),wine drama comedy romance (2004) sideways
the machinist (2004),ending bale schizophrenia drama twist mystery (2004) thriller creepy machinist powerful psychology christian the
vera drake (2004),drake abortion drama (2004) vera
saw (2004),ending saw suspense mindfuck clever mystery thriller (2004) brutal disturbing horror surprise great
ray (2004),(2004) drama biopic ray
"incredibles, the (2004)","superhero children jackson animation l. action adventure comedy samuel (2004) incredibles, disney the"
finding neverland (2004),pan finding neverland drama peter (2004)
guerrilla: the taking of patty hearst (2004),of patty hearst (2004) documentary guerrilla: taking the
house of flying daggers (shi mian mai fu) (2004),mai of martial arts (shi drama action flying romance (2004) fu) daggers mian house
that's entertainment (1974),netflix (1974) that's queue in entertainment documentary
love me if you dare (jeux d'enfants) (2003),(jeux characters d'enfants) you drama dare cruel romance me if (2003) love
control room (2004),room war control (2004) documentary journalism
greed (1924),greed drama (1924) gold
"andalusian dog, an (chien andalou, un) (1929)","(1929) surreal mindfuck (chien andalusian un) fantasy surrealism an dog, andalou,"
fury (1936),revenge drama fury (1936) film-noir
stage door (1937),door show (1937) drama stage business
"roaring twenties, the (1939)","netflix roaring queue drama in twenties, thriller crime (1939) the"
"letter, the (1940)","netflix letter, queue drama in film-noir (1940) the"
random harvest (1942),cry random drama romance harvest me (1942) made
"lady from shanghai, the (1947)","shanghai, mirrors from drama mystery film-noir (1947) lady the"
"letter to three wives, a (1949)","netflix to queue drama in three comedy wives, letter a (1949)"
mutiny on the bounty (1962),bounty netflix not from drama adventure romance mutiny available on (1962) the
"battle of algiers, the (la battaglia di algeri) (1966)","netflix battaglia of queue di (1966) drama war in algeri) (la battle algiers, the"
au hasard balthazar (1966),au hasard (1966) drama crime donkey balthazar
duel (1971),netflix duel queue action in mystery thriller (1971)
kiki's delivery service (majo no takkyûbin) (1989),children delivery animation drama (majo adventure anime service takkyûbin) no (1989) kiki's fantasy
begotten (1990),symbolic drama psychedelic horror boring begotten (1990)
porco rosso (crimson pig) (kurenai no buta) (1992),netflix (kurenai (1992) (crimson porco queue buta) animation in adventure comedy romance no pig) rosso fantasy
gia (1998),lesbian drugs drama romance (1998) gia
"neon genesis evangelion: the end of evangelion (shin seiki evangelion gekijô-ban: air/magokoro wo, kimi ni) (1997)","gekijô-ban: world end evangelion: drama psychology ni) seiki fantasy sci-fi (1997) evangelion kimi air/magokoro animation anime the of wo, genesis epic action mecha neon (shin"
"animatrix, the (2003)","sci-fi animatrix, animation drama action matrix cyberpunk anime (2003) dark the"
lemony snicket's a series of unfortunate events (2004),streep comedy meryl fantasy a dark snicket's unfortunate adventure jim of stylized (2004) series lemony children carrey events quirky
"cat returns, the (neko no ongaeshi) (2002)","returns, netflix children queue (neko animation in adventure no (2002) cat ongaeshi) fantasy the"
"twilight samurai, the (tasogare seibei) (2002)","samurai, netflix (tasogare seibei) queue drama in romance twilight (2002) the"
old boy (2003),surreal twisted boy hallucinatory paranoid old mystery thriller depressing disturbing claustrophobic (2003) bizarre
millions (2004),saints children drama millions comedy (2004) crime fantasy religion
spanglish (2004),spanglish drama romance comedy (2004) adam family sweet sandler
"story of the weeping camel, the (geschichte vom weinenden kamel, die) (2003)","kamel, of (geschichte vom animal weeping weinenden drama die) movie camels camel, documentary story (2003) the"
layer cake (2004),plotting. tom drama craig gangster daniel hardy (2004) crime thriller exquisite stylish confusing organized british cake layer
"return, the (vozvrashcheniye) (2003)","drama (vozvrashcheniye) fatherhood (2003) return, the"
mean creek (2004),revenge drama thriller (2004) creek mean
born into brothels (2004),born into (2004) brothels documentary india
riding giants (2004),riding (2004) documentary surfing giants
million dollar baby (2004),drama baby (2004) million boxing dollar
hotel rwanda (2004),rwanda drama war (2004) hotel genocide
charlie and the chocolate factory (2005),chocolate children dahl and (2005) adventure comedy factory charlie imax roald fantasy the
"life aquatic with steve zissou, the (2004)","visually trippy whimsical aquatic heartwarming adventure life comedy (2004) steve off-beat with appealing fantasy zissou, quirky the"
"aviator, the (2004)","howard aviator, movie drama hughes (2004) biopic business the"
"woodsman, the (2004)","woodsman, drama (2004) child abuse the"
in good company (2004),drama busniess in comedy (2004) good company
meet the fockers (2004),de robert ben fockers comedy (2004) stiller niro meet the
"merchant of venice, the (2004)","shakespeare of merchant drama (2004) venice, the"
in the realms of the unreal (2004),of unreal animation in henry realms (2004) documentary darger the
i remember mama (1948),children mama motherhood drama remember i (1948)
nobody knows (dare mo shiranai) (2004),nobody mo drama (2004) orphans shiranai) (dare knows
howl's moving castle (hauru no ugoku shiro) (2004),studio netflix world movie (hauru fantasy castle animation ghibli adventure howl's anime queue best romance hayao (2004) miyazaki shiro) oscar moving 06 - ugoku in no nominated
zelary (2003),drama romance marriage zelary (2003)
"three musketeers, the (1973)","netflix (1973) queue musketeers, action adventure in three comedy the"
twentieth century (1934),netflix twentieth century queue (1934) in comedy
call northside 777 (1948),netflix call queue drama in crime northside film-noir (1948) 777
"wild parrots of telegraph hill, the (2003)","of parrots telegraph documentary hill, wild (2003) birds the"
"ballad of jack and rose, the (2005)","of and (2005) drama fatherhood the ballad jack rose,"
sin city (2005),sin (2005) action mystery thriller crime city film-noir cult
enron: the smartest guys in the room (2005),enron: room (2005) in smartest documentary scandal money guys business the
kingdom of heaven (2005),heaven liam of drama (2005) action war neeson romance orlando bloom green thewlis kingdom david eva
crash (2004),crash drama (2004) crime racism
star wars: episode iii - revenge of the sith (2005),sci-fi star revenge of space iii - (2005) action adventure sith opera episode wars: the
cinderella man (2005),boksdrama drama (2005) man romance boxing cinderella
fantastic four (2005),(2005) scientist alba sexy sci-fi superhero evans comic adventure four chris suit heroine fantastic jessica female book action in tight
wedding crashers (2005),(2005) wedding comedy romance stiller crashers
hustle & flow (2005),& drama (2005) hustle hop flow crime hip
"devil's rejects, the (2005)","devil's zombie (2005) action crime horror rejects, rob the"
georgy girl (1966),(1966) pregnancy girl comedy georgy
serenity (2005),sci-fi serenity (2005) action adventure firefly predictable
broken flowers (2005),netflix queue drama (2005) in comedy broken flowers
"browning version, the (1951)","netflix queue drama in (1951) version, browning the"
junebug (2005),drama junebug (2005) pregnancy comedy
grizzly man (2005),animal movie (2005) bears man documentary grizzly
duma (2005),netflix queue animal movie duma drama (2005) in adventure
"40-year-old virgin, the (2005)","virgin, 40-year-old (2005) best carell comedy romance picture steve classic hilarious the"
"constant gardener, the (2005)","politics drama (2005) thriller constant gardener, africa business the"
proof (2005),proof drama (2005) mathematics
lord of war (2005),wapendrama of war (2005) action drama lord thriller crime
everything is illuminated (2005),illuminated netflix is queue drama (2005) in comedy everything
why we fight (2005),netflix we queue (2005) fight why in documentary
waiting... (2005),comedy restaurant waiting... (2005)
corpse bride (2005),movie (2005) comedy fantasy gothic musical bride corpse burton animation carter appealing johnny depp best romance tim visually helena oscar 06 - nominated bonham
"history of violence, a (2005)","netflix history violence, of queue drama (2005) action in thriller crime a"
oliver twist (2005),drama (2005) oliver twist dickens
capote (2005),drama capote (2005) crime truman
wallace & gromit in the curse of the were-rabbit (2005),& wallace movie (2005) aardman comedy animation adventure were-rabbit the of best gromit curse children oscar 06 - in nominated
kiss kiss bang bang (2005),netflix (2005) downey comedy jr. fast-paced robert thriller crime queue dialogue kiss clever witty good in mystery bang black
in her shoes (2005),her drama (2005) in comedy sisters shoes
"squid and the whale, the (2005)","whale, squid and (2005) drama comedy divorce the"
north country (2005),netflix country queue drama (2005) courtroom in north
"good night, and good luck. (2005)","netflix morrow queue and night, (2005) drama in mccarthy crime hearings good journalism luck."
jarhead (2005),war drama (2005) action jarhead jake modern gyllenhaal
"match factory girl, the (tulitikkutehtaan tyttö) (1990)","girl, match drama depression tyttö) comedy factory (tulitikkutehtaan (1990) the"
syriana (2005),netflix syriana queue drama (2005) in thriller
pride & prejudice (2005),netflix pride & queue prejudice drama (2005) in romance
harry potter and the goblet of fire (2005),harry potter of magic and (2005) adventure wizards goblet thriller imax fantasy fire the
walk the line (2005),line cash walk drama (2005) romance johnny musical the
breakfast on pluto (2005),drama (2005) comedy transvestite on pluto breakfast
"chronicles of narnia: the lion, the witch and the wardrobe, the (2005)","children of wardrobe, lewis and (2005) narnia: chronicles witch adventure lion, c.s. fantasy the"
king kong (2005),drama king action (2005) adventure kong thriller fantasy big budget
munich (2005),netflix queue drama (2005) action in thriller crime munich
"producers, the (2005)","netflix queue (2005) in comedy producers, musical the"
voices of a distant star (hoshi no koe) (2003),sci-fi star voices of distant animation drama koe) romance no (2003) love a (hoshi
lady vengeance (sympathy for lady vengeance) (chinjeolhan geumjassi) (2005),vengeance) geumjassi) drama (2005) (chinjeolhan mystery thriller crime (sympathy vengeance lady brutality for
looking for comedy in the muslim world (2005),netflix muslim world queue (2005) in comedy for looking the
lucky number slevin (2006),ending drama (2006) number twist mystery crime slevin lucky
reefer madness: the movie musical (2005),movie madness: drama (2005) reefer satire comedy musical the
"da vinci code, the (2006)","tom hanks theory drama (2006) code, adventure mystery vinci thriller paris audrey conspiracy treasure hunt tautou da the"
x-men: the last stand (2006),sci-fi hugh berry halle x-men: (2006) action last stand thriller jackman the
lady in the water (2006),paul drama water fantasy giamatti fetched lady tale the disappointing (2006) far bad faerie fairy shyamalan in mystery m. night
marie antoinette (2006),cinematography marie drama (2006) romance lyrical antoinette
babel (2006),storylines babel drama (2006) blanchett pitt thriller social brad multiple commentary cate
night at the museum (2006),at museum ben williams (2006) action comedy imax stiller robin fantasy night the
stranger than fiction (2006),fiction surreal maggie drama (2006) emma modern comedy romance ferrell will stranger thompson fantasy than gyllenhaal
"illusionist, the (2006)","giamatti magic paul drama (2006) norton romance mystery costume illusionist, fantasy edward the"
"pan's labyrinth (laberinto del fauno, el) (2006)","pan's visually el) labyrinth atmospheric drama del (2006) thriller appealing fauno, fantasy (laberinto bittersweet"
"departed, the (2006)","cop atmospheric long drama undercover leonardo dicaprio departed, thriller crime way jack the suspense (2006) scorsese ending nicholson martin twist too"
deliver us from evil (2006),history is from deliver us catholic (2006) in church evil documentary most corrupt organization the
"prestige, the (2006)","sci-fi ummarti2006 atmospheric enigmatic drama (2006) mystery thriller prestige, the"
"good year, a (2006)","cotillard drama (2006) comedy romance good year, marion a"
blood diamond (2006),dicaprio blood connelly corruption drama war action adventure (2006) diamond justice thriller crime jennifer leonardo africa
ratatouille (2007),rat children chef ratatouille drama animation (2007) clever a inspirational
hot fuzz (2007),hot (2007) action fuzz comedy mystery crime british
meet the robinsons (2007),it everyone saw and one... kids! comedy on without sci-fi animation adventure robinsons meet the something seeing with for children (2007) plan action in this
fracture (2007),ending hopkins fracture drama (2007) courtroom twist mystery thriller crime anthony
"invisible, the (2007)","acting invisible, horrible drama (2007) mystery thriller crime interesting fantasy the"
paprika (papurika) (2006),(papurika) sci-fi dreamlike paprika animation (2006) mystery
bug (2007),theory drama (2007) bug based insanity paranoia creepy thriller conspiracy horror on play a ptsd
fantastic four: rise of the silver surfer (2007),silver jokes scientist alba sexy rise sci-fi evans adventure chris marvel the fantastic jessica of acting surfer female plot bad (2007) action four:
fido (2006),zombies fido (2006) comedy thriller horror
"bourne ultimatum, the (2007)","robert bourne (scene) (2007) action assassin-in-training thriller crime ludlum assassin espionage ultimatum, the"
superbad (2007),superbad discovery school (2007) virginity high comedy friendship cera nerds self michael shenanigans
3:10 to yuma (2007),to bale (2007) drama action 3:10 yuma crime western christian
tekkonkinkreet (tekkon kinkurîto) (2006),(tekkon kinkurîto) animation (2006) action adventure anime crime tekkonkinkreet fantasy
gone baby gone (2007),gone drama (2007) baby affleck twist mystery crime great performances casey
elite squad (tropa de elite) (2007),de favelas elite) (2007) drama action thriller crime elite squad (tropa
american gangster (2007),corruption drama (2007) gangster mafia thriller crime american denzel organized washington
i am legend (2007),legend world am vampire on a sci-fi apocalypse thriller imax horror the holes post-apocalyptic i apocalyptic plot earth alone book (2007) action in based man last post religion
juno (2007),teenage drama (2007) notable juno pregnancy comedy romance cera soundtrack witty michael
there will be blood (2007),visually gritty morality blood be there atmospheric (2007) drama long intense will western appealing study cerebral character shots
cat soup (nekojiru-so) (2001),(nekojiru-so) surreal abstract animation drama soup adventure psychedelic cat horror (2001) dark
in bruges (2008),colin farrell ralph drugs drama stylized in comedy bruges thriller crime black friendship irreverent fiennes (2008) dark
"definitely, maybe (2008)","ryan weisz rachel maybe drama comedy romance definitely, (2008) reynolds"
"bank job, the (2008)","small time bank heist criminals robbery action job, thriller crime (2008) the"
funny games u.s. (2007),drama (2007) intelligent thought-provoking thriller humor u.s. funny games dark
"dark knight, the (2008)","superhero gritty drama action psychology crime imax knight, (2008) dark the"
"forbidden kingdom, the (2008)","chan jackie action adventure kingdom, comedy forbidden fu fantasy (2008) kung the"
son of rambow (2007),children of movies about (2007) drama comedy rambow son
"chronicles of narnia: prince caspian, the (2008)","caspian, narnia children of tilda prince lion narnia: chronicles adventure swinton fantasy (2008) the"
wall·e (2008),sci-fi wall·e children animation adventure man romance last post story apocalyptic on social (2008) love commentary earth
hancock (2008),bad smith action adventure comedy theron hancock crime will fantasy (2008) script charlize
get smart (2008),hathaway anne action comedy smart get steve (2008) carell
meet dave (2008),sci-fi children enjoyable adventure comedy dave romance meet (2008)
step brothers (2008),highly brothers comedy ferrell step will (2008) funny quotable
vicky cristina barcelona (2008),vicky drama barcelona comedy romance cristina threesome (2008)
pineapple express (2008),franco rogen pineapple movie action comedy seth crime (2008) james express stoner
burn after reading (2008),turns & drama satire comedy pitt clooney brad weird dark crime george espionage reading malkovich coen bros (2008) brothers burn twists after john
flcl (2000),sci-fi surreal animation comedy film stylish flcl fantasy cult 2d (2000)
zack and miri make a porno (2008),porno rogen and miri make drama sexual comedy romance seth zack humor (2008) a
changeling (2008),emotional drama changeling mystery crime (2008)
twilight (2008),audience flick teen movie chick drama intelligence romance overrated twilight thriller underestimated boring fantasy (2008)
"boy in the striped pajamas, the (boy in the striped pyjamas, the) (2008)","striped pyjamas, childish boy drama war in friendship pajamas, the) (boy (2008) naivity the"
coraline (2009),surreal fairy burton animation coraline creepy thriller (2009) tim fantasy tale dark claymation
dr. horrible's sing-along blog (2008),harris sci-fi horrible's patrick whedon sing-along drama nathan comedy parody joss neil fillion dr. (2008) blog musical
"i love you, man (2009)","samberg rudd andy paul pressly man comedy (2009) you, i jaime bromance bromantic masculinity love segel jason"
observe and report (2009),rogen report and action observe comedy seth (2009)
inglourious basterds (2009),drama war action waltz basterds comedy pitt (2009) inglourious black brad christoph quentin satire tarantino
moon (2009),sci-fi drama mystery (2009) thriller moon solitude 2001-like
x-men origins: wolverine (2009),sci-fi hugh origins: ryan bad characters book x-men comic action (2009) thriller many wolverine plot too jackman reynolds
star trek (2009),trek development simon future sci-fi star pegg travel adventure imax of (2009) story space time action lack cuts quick
terminator salvation (2009),franchise artificial sci-fi new salvation adventure composer thriller robots script the acting terminator intelligence fighting post-apocalyptic sequel (2009) plot system bad bale action christian
"brothers bloom, the (2008)","ruffalo comedy interesting con adventure artists crime adrien brody weisz the characters romance mark (2008) funny brothers rachel bloom,"
neon genesis evangelion: death & rebirth (shin seiki evangelion gekijô-ban: shito shinsei) (1997),death sci-fi (1997) gekijô-ban: recap shinsei) & evangelion: evangelion animation action shito genesis mystery seiki rebirth neon (shin
up (2009),test:fail dogs emotional children up heartbreaking computer animation drama dreams adventure cartoon pixar (2009) touching divorce bittersweet bechdel
"hangover, the (2009)","las comedy (2009) hangover, crime hotel funny casino vegas the"
"hurt locker, the (2008)","drama war action hurt thriller (2008) locker, the"
transformers: revenge of the fallen (2009),fallen filler michael sci-fi revenge shia labeouf adventure bay imax transformers: the stop characters of holes more useless (2009) plot for using autobots needed bad action ridiculous
(500) days of summer (2009),(500) of humorous inspiring drama intelligent days comedy romance (2009) artistic deschanel summer zooey funny quirky
district 9 (2009),sci-fi district intelligent mystery (2009) thriller 9
"haunted world of el superbeasto, the (2009)","superbeasto, narrative world of haunted animation pisstake action comedy el (2009) thriller horror the"
zombieland (2009),eisenberg murray harrelson action emma stone comedy (2009) bill horror woody funny zombieland dark jesse
mary and max (2009),and drama comedy bittersweet dark mary animation philosophical sad max poignant illness (2009) character mental loneliness friendship black touching study sweet quirky
gentlemen broncos (2009),bad broncos comedy (2009) gentlemen humor
avatar (2009),long poor unoriginal sci-fi stunning science adventure imax james futuristic superficial guilt dialogue politics romance (2009) music plot cameron visually bad military white graphic action beautiful thought-provoking avatar design too scenery
shutter island (2010),dicaprio psychological (2010) drama insanity martin thought-provoking island twist mystery thriller shutter leonardo plot scorsese
"town called panic, a (panique au village) (2009)","au surreal (panique whimsical town called village) animation (2009) panic, a"
inception (2010),reality surreal heist drama psychology leonardo philosophy great budget intellectual sci-fi dicaprio inception dreamlike (2010) thriller crime alternate imax appealing dead big cerebral psychological complicated suspense mindfuck clever soundtrack visually action thought-provoking mystery wife
scott pilgrim vs. the world (2010),world pilgrim (2010) stylized action comedy vs. romance cera video geeky fantasy michael scott games musical the
"social network, the (2010)","loneliness dialogue (2010) drama witty social good network, the"
"town, the (2010)","much (2010) drama town, interest romance thriller crime fbi too love the"
sintel (2010),(2010) animation adventure sintel fantasy
inside job (2010),economics inside corruption (2010) job politics truth documentary investor business
restrepo (2010),restrepo (2010) war documentary american idolatry
127 hours (2010),stranded hours (2010) drama adventure thriller 127
black swan (2010),surreal atmospheric (2010) drama creepy thriller black swan alter horror obsession ego
rare exports: a christmas tale (rare exports) (2010),exports) (rare rare a (2010) nudity action exports: comedy christmas male tale
true grit (2010),true matt atmospheric brothers (2010) damon jeff predictable western coen grit bridges
tron: legacy (2010),sci-fi choreography (2010) characterisation action adventure legacy sequel poor development soundtrack imax horrid plot tron:
tucker & dale vs evil (2010),& dale (2010) vs comedy evil black tucker horror
chalet girl (2011),(2011) chalet romance girl comedy
green lantern (2011),(2011) underestimated sci-fi audience superhero comic adventure green ryan comics intelligence cheesy lantern reynolds space cgi book dc action
upside down: the creation records story (2010),down: label (2010) creation indie britpop music documentary story record the upside records
friends with benefits (2011),(2011) comedy city benefits friends timberlake new sex mila happy romance with funny kunis ending hot justin actress york
"avengers, the (2012)","visually sci-fi superhero team captain silly avengers, fun action adventure appealing humor imax america (2012) great the"
warrior (2011),warrior tom mma (2011) drama hardy boxing story
margin call (2011),wall call bank suspense realistic street (2011) corruption drama margin spacey kevin thriller corporations crisis financial big business
starsuckers (2009),starsuckers fetishism (2009) documentary celebrity mediacentralism holism system
the hunger games (2012),ending sci-fi hunger drama action adventure thriller (2012) games the
"dark knight rises, the (2012)","hathaway commentary knight great dark political superhero morgan comic anne adventure crime imax rises, the nolan (2012) ending bale freeman book action christopher christian"
intouchables (2011),emotional intouchables (2011) drama comedy sexuality
moonrise kingdom (2012),quirky drama comedy moonrise romance (2012) kingdom
"thousand words, a (2012)","words, drama comedy thousand interesting (2012) scenario a"
ted (2012),comedy ted humor crude fantasy (2012)
beasts of the southern wild (2012),emotional of drama the beasts beautiful poetic (2012) fantasy wild southern
skyfall (2012),cinematography filmed action skyfall adventure beautiful beautifully thriller imax (2012)
hands over the city (le mani sulla città) (1963),città) left right (1963) politics drama over mani italy political city the hands versus sulla (le
taken 2 (2012),liam 2 taken drama action istanbul neeson sequel predictable thriller crime turkey (2012) unnecessary
argo (2012),argo cia politics drama thriller (2012) thrilling
life of pi (2012),cinematography surreal of pi drama adventure life india imax (2012)
"hobbit: an unexpected journey, the (2012)","unexpected action adventure imax hobbit: fantasy journey, (2012) an myth the"
zero dark thirty (2012),thirty propaganda assassination military terrorism drama action afghanistan american thriller (2012) zero dark
django unchained (2012),jackson drama humour quentin leonardo great performances dicaprio l. christoph unchained samuel soundtrack good (2012) funny tarantino waltz action django western
it's such a beautiful day (2012),sci-fi it's surreal moving animation drama weird day beautiful comedy philosopical such (2012) fantasy a
upstream color (2013),sci-fi artsy atmospheric dreamlike (2013) beautiful romance upstream color thriller artistic existentialism
movie 43 (2013),language 43 scenes r movie (2013) embarassing sarcasm satire comedy offensive
"croods, the (2013)","animation (2013) stone adventure age comedy funny croods, the"
"invincible iron man, the (2007)","(2007) animation iron invincible man, the"
now you see me (2013),illusions ending see now you (2013) me mystery crime thriller predictable stupid overcomplicated
man of steel (2013),sci-fi superhero of (2013) action man adventure amy adams imax fantasy steel
grown ups 2 (2013),grown 2 ups (2013) comedy adam sandler
gravity (2013),visually sci-fi characters long (2013) slow action gravity predictable appealing simple imax cliche shots
what if (2013),kazan radcliffe drama (2013) daniel comedy romance if what zoe
"history of future folk, the (2012)","history sci-fi quirky of adventure comedy (2012) future folk, musical the"
prisoners (2013),hugh prisoners acting atmospheric morality absorbing drama (2013) jake mystery thriller gyllenhaal jackman
short term 12 (2013),emotional mental drama 12 (2013) heartwarming term illness touching feel-good short
captain phillips (2013),captain suspense hostage drama (2013) tense adventure ocean thriller imax phillips
dallas buyers club (2013),club uplifting drama (2013) leto jared social commentary dallas buyers
"hobbit: the desolation of smaug, the (2013)","of smaug, long (2013) adventure desolation imax hobbit: fantasy too tolkien the"
inside llewyn davis (2013),cinematography davis atmospheric inside drama (2013) llewyn depressing funny
"wolf of wall street, the (2013)","wall dicaprio of street drugs (2013) drama martin comedy market street, crime wolf leonardo stock scorsese the"
anchorman 2: the legend continues (2013),legend (2013) 2: comedy ferrell anchorman steve but stupid continues will funny carell the
snowpiercer (2013),sci-fi snowpiercer drama (2013) action fatalistic
divergent (2014),sci-fi dystopia (2014) bad new unintelligent adventure holes romance predictable scifi imax anti-intellectual society plot writing divergent
